Customer,Branch,Last_Order_Date,Frequency,Monetary,Recency,R_Score_Current,F_Score_Current,M_Score_Current,RFM_Score_Current,Segment_Name_Current
Harajuku Salon - Padang,Padang,10/31/2025,1,522000,24,4,1,1,411,Potential Loyalists Customers
Harajuku Salon By Lies- Jakarta,Balikpapan,11/1/2025,3,2319299.99,23,4,3,3,433,Loyal Customers
Harra Salon,Balikpapan,8/28/2025,2,484200,88,1,2,1,121,Lost Customers
Harsuka Salon- Jakarta,Jakarta,8/20/2025,5,1854000,96,1,4,3,143,At Risk Customers
Hassanah Salon,Balikpapan,10/21/2025,2,155250,34,2,2,1,221,Lost Customers
Haybeautybar Salon - Padang,Balikpapan,11/20/2025,3,1285199.06,4,5,3,3,533,Loyal Customers
Healing Chamber Salon - Palembang,Palembang,10/25/2025,2,1555200,30,2,2,3,223,At Risk Customers
Hengky Salon- Jakarta,Jakarta,8/9/2025,3,6696000,107,1,3,4,134,At Risk Customers
Herliz Beauty Salon- Jakarta,Jakarta,10/13/2025,4,1099800,42,2,4,2,242,At Risk Customers
Hermosa Salon- Jakarta,Jakarta,8/30/2025,2,732600,86,1,2,2,122,At Risk Customers
Herni Salon- Pekanbaru,Balikpapan,10/29/2025,2,1177201.88,26,3,2,2,322,Promising Customers
"Hijrah Salon, Medan",Balikpapan,10/20/2025,2,433800.02,35,2,2,1,221,Lost Customers
Holybarber- Jakarta,Balikpapan,9/2/2025,1,1537200.01,83,1,1,3,113,Lost Customers
Hope Salon,Medan,10/20/2025,4,3171600,35,2,4,4,244,Needs Attention Customers
House Of Beauty Of Dr Rina- Medan,Balikpapan,11/13/2025,62,300137000,11,4,5,5,455,Top Customers
Humaira Salon- Jakarta,Balikpapan,11/19/2025,19,39803499.99,5,5,5,5,555,Top Customers
I-One Salon,Balikpapan,11/4/2025,5,1751400,20,4,4,3,443,Loyal Customers
Icha Salon Tegal- Jakarta,Jakarta,11/19/2025,2,612000,5,5,2,2,522,Potential Loyalists Customers
Ilham Ngarifudin,Balikpapan,7/4/2025,1,93648.65,143,1,1,1,111,Lost Customers
Inan Salon - Duren Sawit (Bpk Sam)- Jakarta,Jakarta,11/17/2025,2,518400,7,4,2,1,421,Potential Loyalists Customers
Inan Salon- Jakarta,Balikpapan,11/20/2025,44,151977600.1,4,5,5,5,555,Top Customers
Inge Salon/ Inge- Jakarta,Jakarta,9/17/2025,2,966599.98,68,1,2,2,122,At Risk Customers
Ink Barber Shop,Jakarta,9/10/2025,3,763200,75,1,3,2,132,At Risk Customers
Intan Salon- Ambon,Ambon,11/20/2025,1,1192500,4,5,1,2,512,Potential Loyalists Customers
Ira Salon- Jakarta,Jakarta,10/30/2025,6,10588000,25,3,4,5,345,Needs Attention Customers
Ira Salon- Pekanbaru,Balikpapan,10/29/2025,2,1044002.62,26,3,2,2,322,Promising Customers
Irwanto Salon- Manado,Balikpapan,10/10/2025,1,1380000,45,1,1,3,113,Lost Customers
Itsmy Salon - Balikpapan,Balikpapan,11/13/2025,13,9844200.01,11,4,5,5,455,Top Customers
Iwan Salon- Jakarta,Balikpapan,11/4/2025,3,1533600,20,4,3,3,433,Loyal Customers
Jayanti Salon- Palembang,Palembang,10/20/2025,16,53368000,35,2,5,5,255,Needs Attention Customers
Jess Salon - Tilak- Medan,Balikpapan,10/15/2025,1,255600,40,2,1,1,211,Lost Customers
Julian Salon- Jakarta,Jakarta,9/30/2025,3,19323000,55,1,3,5,135,At Risk Customers
Kanta Salon,Balikpapan,8/26/2025,1,185400,90,1,1,1,111,Lost Customers
Karmila Purnomo Putri,Jakarta,10/24/2025,9,7136100,31,2,5,4,254,Needs Attention Customers
Keke Salon- Medan,Balikpapan,10/28/2025,4,1022400,27,3,4,2,342,Lost Customers
Kendy Salon- Medan,Balikpapan,10/31/2025,4,19206000,24,4,4,5,445,Top Customers
Keshoo Salon- Yogyakarta,Balikpapan,11/22/2025,1,7020000.01,2,5,1,4,514,Lost Customers
Key Salon - Balikpapan,Balikpapan,10/31/2025,3,481500,24,4,3,1,431,Lost Customers
Kiara Store- Medan,Medan,11/12/2025,1,225000.01,12,4,1,1,411,Potential Loyalists Customers
