Customer,Branch,Last_Order_Date,Frequency,Monetary,Recency,R_Score_Current,F_Score_Current,M_Score_Current,RFM_Score_Current,Segment_Name_Current
Seven Teen Salon- Jakarta,Balikpapan,9/8/2025,1,858600,77,1,1,2,112,Lost Customers
Sf Salon- Jakarta,Jakarta,9/13/2025,5,1957500,72,1,4,3,143,At Risk Customers
Shafira Salon- Jakarta,Balikpapan,11/6/2025,3,4530600,18,4,3,4,434,Loyal Customers
Shall Salon- Jakarta,Jakarta,10/22/2025,4,7071300,33,2,4,4,244,Needs Attention Customers
Shantty Salon- Jakarta,Jakarta,10/21/2025,4,14920000,34,2,4,5,245,Needs Attention Customers
Shelly Salon/ Christin- Medan,Balikpapan,10/23/2025,1,522000,32,2,1,1,211,Lost Customers
Sherlly Salon - Balikpapan,Balikpapan,11/20/2025,5,3928500.04,4,5,4,4,544,Top Customers
Sian-Sian Salon- Jakarta,Jakarta,10/8/2025,3,1621800.02,47,1,3,3,133,At Risk Customers
Silvia Salon- Pekanbaru,Balikpapan,11/7/2025,5,1944900.95,17,4,4,3,443,Loyal Customers
Sitimusa Beauty Salon,Balikpapan,11/22/2025,20,22419000.01,2,5,5,5,555,Top Customers
Sofi Salon Siaga - Balikpapan,Balikpapan,10/31/2025,2,2043000,24,4,2,3,423,Lost Customers
Sofia Salon - Ambon,Ambon,11/18/2025,2,351000,6,5,2,1,521,Potential Loyalists Customers
Sosi Rosma Salon- Medan,Balikpapan,10/25/2025,1,294299.99,30,2,1,1,211,Lost Customers
Spencer Salon- Surabaya,Balikpapan,11/21/2025,2,1350000,3,5,2,3,523,Lost Customers
Sr Salon & Spa,Jakarta,10/23/2025,3,1616400,32,2,3,3,233,Needs Attention Customers
Sri Salon- Jakarta,Jakarta,10/2/2025,10,27899000,53,1,5,5,155,At Risk Customers
St Laurent Salon- Manado,Balikpapan,10/21/2025,1,2430000,34,2,1,3,213,Lost Customers
Styleup Salon,Balikpapan,10/30/2025,3,543600,25,3,3,1,331,Lost Customers
Subag Beauty Salon - Padang,Balikpapan,10/23/2025,2,160199.88,32,2,2,1,221,Lost Customers
Sukim Salon- Medan,Medan,10/28/2025,5,5553016.3,27,3,4,4,344,Needs Attention Customers
Susan Salon- Medan,Balikpapan,11/13/2025,1,3434400.01,11,4,1,4,414,Lost Customers
"Tanjung Salon, Kudus- Semarang",Balikpapan,11/21/2025,5,2538000,3,5,4,3,543,Loyal Customers
Tarbeautybar Salon - Padang,Balikpapan,11/19/2025,2,1510200,5,5,2,3,523,Lost Customers
Tedi Salon - Balikpapan,Balikpapan,11/4/2025,1,405000.01,20,4,1,1,411,Potential Loyalists Customers
Tjong Calvin,Balikpapan,10/13/2025,1,294299.99,42,2,1,1,211,Lost Customers
Tofa Salon- Jakarta,Jakarta,11/19/2025,1,360000,5,5,1,1,511,Potential Loyalists Customers
Toko Harky- Jakarta,Jakarta,8/29/2025,8,41045452.8,87,1,5,5,155,At Risk Customers
Toko Mini Feri - Padang,Padang,10/29/2025,49,454439127.8,26,3,5,5,355,Needs Attention Customers
Tommy Salon- Jakarta,Balikpapan,11/24/2025,9,14464800.02,0,5,5,5,555,Top Customers
Trend Ciamis Salon- Jakarta,Balikpapan,11/20/2025,5,3751499.97,4,5,4,4,544,Top Customers
Trend Ciawi Salon- Jakarta,Balikpapan,11/22/2025,4,5294999.97,2,5,4,4,544,Top Customers
Tyu Salon/ Yudith- Jakarta,Jakarta,10/10/2025,16,58728000,45,1,5,5,155,At Risk Customers
Valentine Salon Ci Veni- Manado,Balikpapan,10/31/2025,9,18702900,24,4,5,5,455,Top Customers
"Vina Salon,Tegal- Jakarta",Balikpapan,11/4/2025,6,15651900.03,20,4,4,5,445,Top Customers
Vivi Salon Dan Spa- Medan,Balikpapan,11/20/2025,7,13588200,4,5,5,5,555,Top Customers
Vivi Salon- Medan,Medan,11/19/2025,1,240300,5,5,1,1,511,Potential Loyalists Customers
Wahono Widodo,Jakarta,9/17/2025,2,1530000,68,1,2,3,123,At Risk Customers
Waqyo Salon- Jakarta,Jakarta,9/30/2025,2,2077200,55,1,2,3,123,At Risk Customers
Wawa Salon- Jakarta,Balikpapan,11/10/2025,5,4226400.02,14,4,4,4,444,Top Customers
Wids Salon (Banteng)- Jakarta,Balikpapan,11/20/2025,4,1084499.99,4,5,4,2,542,Lost Customers
Win Salon I - Jakarta,Balikpapan,11/14/2025,62,510899000,10,4,5,5,455,Top Customers
Wira Salon- Jakarta,Jakarta,9/27/2025,2,3083400,58,1,2,4,124,At Risk Customers
Wisnu Salon,Balikpapan,10/23/2025,2,160199.88,32,2,2,1,221,Lost Customers
Yan Gress Salon- Jakarta,Jakarta,10/27/2025,8,11882500,28,3,5,5,355,Needs Attention Customers
Yanti Salon - Jakarta,Jakarta,11/19/2025,1,858600,5,5,1,2,512,Potential Loyalists Customers
Yenny Salon- Medan,Medan,11/3/2025,1,999000,21,4,1,2,412,Potential Loyalists Customers
Yohana Salon- Pekanbaru,Balikpapan,11/14/2025,5,4995001.26,10,4,4,4,444,Top Customers
Yoora Salon- Pekanbaru,Balikpapan,11/12/2025,1,2120000,12,4,1,3,413,Lost Customers
Yoshiko Salon/ Teh Rina- Jakarta,Jakarta,8/19/2025,2,1085400,97,1,2,2,122,At Risk Customers
You-Me Salon- Jakarta,Jakarta,10/15/2025,2,1252800.02,40,2,2,3,223,At Risk Customers
Yovela Salon (Ms. Tenny)- Jakarta,Jakarta,10/27/2025,6,10218600,28,3,4,5,345,Needs Attention Customers
Yr Salon- Medan,Medan,10/31/2025,1,1177201.36,24,4,1,2,412,Potential Loyalists Customers
Yuan Salon- Kupang,Balikpapan,10/27/2025,1,999000,28,3,1,2,312,Promising Customers
Yufi Beauty Salon - Lubuk Pakam,Medan,10/28/2025,5,13431999.99,27,3,4,5,345,Needs Attention Customers
Yulia Salon Grogot - Balikpapan,Balikpapan,10/31/2025,2,810000,24,4,2,2,422,Potential Loyalists Customers
Yulli Salon Tomohon- Manado,Balikpapan,10/10/2025,1,449999.99,45,1,1,1,111,Lost Customers
Yuni Salon I- Kupang,Kupang,10/27/2025,3,1822500,28,3,3,3,333,Needs Attention Customers
Yuni Salon- Kupang,Kupang,10/27/2025,3,1854007.57,28,3,3,3,333,Needs Attention Customers
Yustine Salon- Jakarta,Balikpapan,11/19/2025,2,1438200,5,5,2,3,523,Lost Customers
Z Barbershop- Jakarta,Jakarta,10/24/2025,14,56582999.9,31,2,5,5,255,Needs Attention Customers
Zadz Pro Salon - Balikpapan,Balikpapan,11/20/2025,6,3679199.99,4,5,4,4,544,Top Customers
Zahra Salon,Balikpapan,10/31/2025,2,2376000,24,4,2,3,423,Lost Customers
Zee Salon,Balikpapan,10/31/2025,6,1698299.99,24,4,4,3,443,Loyal Customers
Zelia Salon- Kupang,Balikpapan,10/30/2025,2,360001.34,25,3,2,1,321,Promising Customers
Zenth Salon- Jakarta,Balikpapan,11/19/2025,3,1008000,5,5,3,2,532,Lost Customers
Zora Salon- Medan,Balikpapan,11/14/2025,4,11181600,10,4,4,5,445,Top Customers
